"StationName","TypeofStation","Watershed","ConservationUnit","Coordinates","UsebyChinook","Existingdata","Access","Rationaleforinclusion","basin","subbasin","subbasin_name","subsubbasin","subsubbasin_name","wsc_station_number","status","seasonality","datum","latitude","longitude","notes","stationID","station_seriesID","station_seriesName"
"Yukon River above the Klondike Highway #1","Seasonal - Mainstem river","YR Mid-Mainstem","Middle Yukon River & tributaries; CK-70 - Big Salmon; CK-68 Teslin River Headwaters; and CK-69 - Upper Yukon River","NAD 83  62 05.684 136 16.275","CN spawning downstream of Station; migration of adults to upstream spawning populations.","2016 - 2019","By foot from an old coal mine road immediately above the bridge","Most mainstem Chinook Salmon spawning occurs downstream of the Station.  All adult salmon spawning in the Big- and Little Salmon Rivers, Walsh Creek and the Teslin- and Upper Yukon River Watersheds migrate past the Station. It was decommissioned and replaced with Yukon River above the Klondike Highway #2",9,"09A","headwaters yukon","09AH","headwaters yukon - nordenskiold","09AH001","decommissioned","seasonal","NAD 83",62.09473333,-136.27125,NA,"avf_09AH003","avf_09AH004","Yukon River above the Klondike Highway #2"
"Little Salmon River at Canoe Landing","Annual - River with some lake outlet influence.","YR Mid-Mainstem","CK-73 Yukon River Mid-Mainstem","NAD 83 62 05.610 135 18.381","spawning.","September 28, 2012 - continuing.","by vehicle via the Robert Campbell Highway","The Little Salmon River is a mid-sized river.  It has with has significant mid- and upper elevation lake storage.  Chinook Salmon spawning is located some distance downstream from the lake outlet.",9,"09A","headwaters yukon","09AH","headwaters yukon - nordenskiold",NA,"active","annual","NAD 83",62.0935,-135.30635,NA,"avf_09AH005","avf_09AH005","Little Salmon River at Canoe Landing"
"Nordenskiold River at Elk sign","Annual - River, no lake influence.","YR Mid-Mainstem","CK-71 Nordenskiold","NAD 83  61 51.438 136 06.539","spawning.","September 28, 2011 - continuing.","by vehicle via the Mayo Road/North Klondike Highway.","The Nordenskiold River is a mid-sized river during wet weather years.  Much of its drainage basin is in the rain shadow of the Coastal Ranges.  Winter flows depend on discharge of numerous small, upper watershed lakes.  During drought periods summer flows in the river are greatly reduced. The river may be vulnerable to the direct effects of climate change.  Indirect effects of climate change include beaver dams. in the 1990s the upper 70 km of the river was behind one or more dams.",9,"09A","headwaters yukon","09AH","headwaters yukon - nordenskiold","","active","annual","NAD 83",61.8573,-136.1089833,NA,"avf_09AH006","avf_09AH006","Nordenskiold River at Elk sign"
"Pelly River below Pelly Crossing","Seasonal - Mainstem river","YR Pelly River","CK-72 Pelly","NAD 83 62 50.467 136 40.988","upstream migration","2012 - continuing","By vehicle via the Pelly Farm Road.","The Pelly River is a principal tributary of the Yukon River. It is a major adult Chinook Salmon migration route.  The Station is downstream of all 22 documented spawning populations in the Pelly River Watershed.  It is in an excellent location, on the right side of the river and against a bedrock bluff.",9,"09B","pelly river","09BC","lower pelly","09BC001","active","seasonal","NAD 83",62.84111667,-136.6831333,NA,"avf_09BC001","avf_09BC001","Pelly River below Pelly Crossing"
"Blind Creek below abandoned bridge","Annual - Small stream, no lake influence.","YR Pelly River","CK-72 Pelly","NAD 83 62 11.512 133 10.854","Spawning and incubation.","June 11, 2019 - continuing.","by vehicle via the Blind Creek Road and the original Faro Mine Access Road.","Rationale is provided above. The new Station is located at- or near the apex of the alluvial fan Blind Creek has formed in the Pelly River valley.  This Station replaces Blind Creek above abandoned bridge",9,"09B","pelly river","09BC","lower pelly","","active","annual","NAD 83",62.19186667,-133.1809,NA,"avf_09BC003","avf_09BC003","Blind Creek below abandoned bridge"
"Blind Creek above abandoned bridge","Annual - small stream, no lake influence.","YR Pelly River.","CK-72 Pelly","NAD 83 62 11.070 133 10.998","Spawning.","July 20, 2011 - June 11, 2019.","by vehicle via the Blind Creek Road and the original Faro Mine Access Road.","Blind Creek is a small (wadable) stream with a number of small headwater lakes. These lakes provide water for instream flow but are not considered to provide thermal energy from lake storage. Returns to the creek have been enumerated.  The Station is located at or near the apex of the alluvial fan that Blind Creek has formed in the Pelly Valley.  In 2019 a significant freshet event occurred.  This limited safe access to the abandoned bridge.  The Station was replaced by Blind Creek below abandoned bridge.",9,"09B","pelly river","09BC","lower pelly","","decommissioned","annual","NAD 83",62.1845,-133.1833,NA,"avf_09BC002","avf_09BC003","Blind Creek below abandoned bridge"
"Mcquesten River below WSC Station","Annual - River, no lake influence","YR Stewart River","CK-74 Stewart","NAD 83 63 36.489 137 16.634","upstream migration and spawning in the Mcquesten River.","2011 - 2014.","by vehicle via the North Klondike Highway, then up the Mcquesten Road","The Mcquesten River is considered to support the primary Chinook spawning population in the Stewart River Watershed. This Station was designed as an Annual Station.  However, the loggers were repeatedly washed out.  It was replaced with Mcquesten below Klondyke Highway which is operated as an Annual Station.",9,"09D","stewart river","09DD","upper stewart","09DD004","decommissioned","annual","NAD 83",63.60815,-137.2772333,NA,"avf_09DD001","avf_09DD002","Mcquesten River below Klondike Highway"
"Mcquesten River below Klondike Highway","Annual - River, no lake influence","YR Stewart River","CK-74 Stewart","NAD 83  63 33.318 137 24.912","upstream migration to the confluence of the North- and South Mcquesten Rivers, spawning in the Mcquesten River.","July 5, 2014 - continuing.","by vehicle via the North Klondike Highway","The Mcquesten River is considered to support the primary Chinook spawning population in the Stewart River Watershed.   The original Station for the Mcquesten River was located further upstream at Mcquesten River below WSC Station.  It functioned as a Seasonal Station until decommissioned.",9,"09D","stewart river","09DD","upper stewart","09DD004","active","annual","NAD 83",63.5553,-137.4152,"Mcquesten in the spring - icing affects, I reckon.  The further north you go, the more violent the spring freshet.  The Station freezes in some years - 2016, 18 & 19 - so the ATUs are not perfect.","avf_09DD002","avf_09DD002","Mcquesten River below Klondike Highway"
"Stewart River at Stewart Crossing","Seasonal - Mainstem river","YR Stewart River","CK-74 Stewart","NAD 83 63 22.947 136 41.036","upstream migration","2012 - continuing","By vehicle via the Klondike Highway.","The Stewart River is a principal tributary of the Yukon River.  It is a major adult Chinook Salmon migration route. The Station is downstream of 8 documented spawning populations in the mid- and upper Stewart River Watershed.  The Station is in an excellent location, on the right side of river, and against a bedrock bluff.",9,"09D","stewart river","09DD","upper stewart","09DD002","active","seasonal","NAD 83",63.38245,-136.6839333,NA,"avf_09DD003","avf_09DD003","Stewart River at Stewart Crossing"
"North Klondike River at North Fork Bridge","Annual - River, no lake influence","YR North Mainstem","CK-76 North Yukon River","NAD 83  64 00.102 138 35.761","spawning.","August 5, 2011 - continuing.","by vehicle via the Dempster Highway and North Fork Road.","The North Klondike River is a mid-sized mountain river. It is considered typical of Chinook spawning rivers flowing south from the Ogilvie Mountains.  The Station is located at or near the apex of the alluvial fan the North Klondike River has formed in the Klondike Valley.",9,"09E","central yukon","09EA","lower stewart","09EA004","active","annual","NAD 83",64.0017,-138.5960167,"think that the fall temps show freeze up - slush/frazil ice forms and sometime (ie 2015) freezes deeply.  Then the river ices over and sometimes the flow returns to the channel and thereafter generally remains at/near 0 for the remainder of the winter.","avf_09EA001","avf_09EA001","North Klondike River at North Fork Bridge"
